BAP12345-1123,2015-11-24,'23:42:06.060,CSI_112315,1028,1029,EXACT,InquireUpgradeEligibilityRequest,8.31
BAP12345-1123,2015-11-24,'23:42:06.206,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:42:06.214,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:42:06.223,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:42:06.226,ServiceLocator,1507,1498,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:42:06.230,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:42:06.233,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:42:06.237,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:42:06.240,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:42:06.244,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:42:06.247,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:42:06.536,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:42:06.542,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:42:06.547,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:42:06.560,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:42:06.563,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
